url,Product_Name,Data sheets
https://www.kongsberg.com/maritime/products/ocean-science/mapping-systems/sonars/SAS/,Synthetic Aperture Sonar,
https://www.kongsberg.com/maritime/products/ocean-science/ocean-science/scientific-multibeam-systems/td50/,TD50 3D Visualization Tool,
https://www.kongsberg.com/maritime/products/ocean-science/ocean-science/es_scientific/sci_es_transceivers/,transceivers for scientific echo sounders,
https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/TTC-30-TTC-10/,TTC 30 & TTC 10 - Transponders test and configuration units,
https://www.kongsberg.com/maritime/products/marine-robotics/uncrewed-surface-vehicle-sounder/,"Uncrewed Surface Vehicle, Sounder",https://www.kongsberg.com/contentassets/67e20994629a4f4c859ed11af2f458f8/usv-sounder-productsheet.pdf
https://www.kongsberg.com/maritime/products/marine-robotics/underwater-vehicle-instruments/1107-series/,Underwater Altimeters - 1107 series,
https://www.kongsberg.com/maritime/products/ocean-science/ocean-science/es_scientific/sci_es_transceivers/wbat/,WBAT,https://www.simrad.online/ek80/sales/wbat_ds_en_a4.pdf
https://www.kongsberg.com/maritime/products/ocean-science/ocean-science/es_scientific/sci_es_transceivers/wbt/,WBT,https://www.simrad.online/ek80/sales/wbt_ds_en_a4.pdf
https://www.kongsberg.com/maritime/products/ocean-science/ocean-science/es_scientific/sci_es_transceivers/simrad-wbt-mini/,WBT Mini,https://www.simrad.online/ek80/sales/wbt_mini_ds_en_a4.pdf
https://www.kongsberg.com/maritime/products/ocean-science/ocean-science/es_scientific/sci_es_transceivers/simrad-wbt-tube/,WBT Tube,https://www.simrad.online/ek80/sales/wbt_tube_ds_en_a4.pdf
https://www.kongsberg.com/contentassets/9c7466e11a8d427bb564104e1a0a9f4a/datasheet_mgc_r2.pdf,Gyro Compass and INS MGC R2,
https://www.kongsberg.com/contentassets/9c7466e11a8d427bb564104e1a0a9f4a/110-0029208a_datasheet_mgc_r3gc_jan23.pdf,Gyro Compass for ships / high-speed crafts - MGC R3,
https://www.kongsberg.com/contentassets/9c7466e11a8d427bb564104e1a0a9f4a/110-0029200a_datasheet_mgc_r2gc_jan23.pdf,Gyro Compass for ships / high-speed crafts - MGC R2,
